"id 	ordered_at 	delivered_at 	delivered_to"
"0 	2015-08-19 22:01:25 	2015-08-19 22:19:41 	767"
"1 	2015-11-16 00:12:29 	2015-11-16 00:40:18 	847"
"2 	2015-11-27 08:06:06 	2015-11-27 08:08:15 	972"
"3 	2015-10-14 01:16:42 	2015-10-14 01:25:10 	390"
"4 	2015-11-28 05:10:27 	2015-11-28 05:16:24 	914"
"5 	2015-11-20 13:14:18 	2015-11-20 13:18:30 	490"
"6 	2015-09-29 15:02:01 	2015-09-29 15:08:39 	562"
"7 	2015-11-22 00:17:49 	2015-11-22 00:43:16 	478"
"8 	2015-11-18 19:20:49 	2015-11-18 19:23:10 	393"
"9 	2015-09-01 15:08:47 	2015-09-01 15:22:36 	534"
"10 	2015-10-21 07:39:55 	2015-10-21 07:45:11 	209"
"11 	2015-10-09 16:31:08 	2015-10-09 16:41:41 	456"
"12 	2015-11-14 22:58:00 	2015-11-14 23:21:31 	454"
"13 	2015-11-13 01:06:16 	2015-11-13 01:28:33 	515"
"14 	2015-10-26 22:37:42 	2015-10-26 22:55:29 	588"
"15 	2015-11-22 03:31:15 	2015-11-22 03:53:55 	621"
"16 	2015-08-11 06:34:08 	2015-08-11 06:37:24 	25"
"17 	2015-10-29 01:51:43 	2015-10-29 02:16:38 	903"
"18 	2015-09-04 16:25:46 	2015-09-04 16:53:06 	22"
"19 	2015-11-06 07:20:58 	2015-11-06 07:37:37 	126"
"20 	2015-10-21 04:25:17 	2015-10-21 04:48:17 	155"
"21 	2015-11-10 00:01:00 	2015-11-10 00:10:55 	166"
"22 	2015-11-15 06:23:35 	2015-11-15 06:47:37 	778"
"23 	2015-11-11 03:08:41 	2015-11-11 03:21:12 	87"
"24 	2015-09-25 11:29:53 	2015-09-25 11:52:45 	586"
"25 	2015-09-03 16:59:55 	2015-09-03 17:15:23 	728"
"26 	2015-10-02 08:15:08 	2015-10-02 08:37:33 	369"
"27 	2015-10-23 08:33:13 	2015-10-23 08:48:09 	253"
"28 	2015-08-24 13:24:46 	2015-08-24 13:34:10 	469"
"29 	2015-11-17 15:35:01 	2015-11-17 16:01:53 	987"
"30 	2015-08-28 13:36:45 	2015-08-28 13:38:02 	712"
"31 	2015-11-27 16:43:53 	2015-11-27 17:01:40 	532"
"32 	2015-10-22 05:24:43 	2015-10-22 05:54:42 	813"
"33 	2015-11-03 14:12:11 	2015-11-03 14:41:47 	508"
"34 	2015-11-07 18:09:20 	2015-11-07 18:13:49 	10"
